"Name","Website","Sic","Industry","AnnualRevenue","Ownership","TickerSymbol","Rating","id"
"Davis-Vaughn","http://burch.org/","40117","Healthcare","90893","Other","Hotel policy.","Cold","1"
"Miss Joyce Ritter","http://burch.org/","40117","Healthcare","90893","Other","Hotel policy.","Cold","2"
"Carney LLC","http://www.mcfarland-huff.com/","56575","Transportation","94589","Other","Thought wall wonder.","Hot","3"
"Mr. Neil Peck","http://www.mcfarland-huff.com/","56575","Transportation","94589","Other","Thought wall wonder.","Hot","4"
"Montes, Moran and Weaver","https://smith.net/","24736","Technology","36824","Subsidiary","Five imagine.","Hot","5"
"Miss Sheryl Burke PhD","https://smith.net/","24736","Technology","36824","Subsidiary","Five imagine.","Hot","6"
"Kim, Cruz and Schneider","http://pacheco-ramos.com/","78213","Engineering","96292","Subsidiary","Science left sit.","Cold","7"
"Jeremy Nunez","http://pacheco-ramos.com/","78213","Engineering","96292","Subsidiary","Science left sit.","Cold","8"
"Huang and Sons","http://estrada-murray.com/","59369","Consulting","426","Public","Want small.","Cold","9"
"Haley Oconnell DVM","http://estrada-murray.com/","59369","Consulting","426","Public","Want small.","Cold","10"
"Haas-Crawford","http://www.joseph-dickson.net/","2606","Consulting","5207","Private","Receive audience.","Warm","11"
"Dr. Carlos Harrison III","http://www.joseph-dickson.net/","2606","Consulting","5207","Private","Receive audience.","Warm","12"
"Camacho PLC","https://www.norman.org/","63497","Construction","24093","Private","Event significant.","Warm","13"
"Dr. Russell Hernandez MD","https://www.norman.org/","63497","Construction","24093","Private","Event significant.","Warm","14"
"Wall, Cannon and Allen","http://duffy.com/","42638","Telecommunications","90014","Private","Direction idea mean.","Warm","15"
"Miss Mackenzie Delacruz MD","http://duffy.com/","42638","Telecommunications","90014","Private","Direction idea mean.","Warm","16"
"Morrison-Odom","http://gonzalez.com/","62504","Construction","97441","Other","Night country five.","Hot","17"
"Marcus Gibbs","http://graham.org/","47460","Technology","71061","Private","Hundred anyone.","Cold","18"
"Sosa Group","http://hayden.com/","62003","Machinery","31620","Other","Federal open south.","Warm","19"
"Dr. Monica Benton","http://hopkins.com/","50722","Energy","93184","Subsidiary","Economy occur leave.","Cold","20"
"Robles Group","http://www.cline.com/","56857","Agriculture","87214","Other","Anything early get.","Cold","21"
"Mr. Cole Spears","http://www.hull.com/","96466","Shipping","66660","Public","Strong very food.","Warm","22"
"Ward, Carson and Payne","http://www.lutz.com/","34481","Environmental","43167","Subsidiary","Manage apply career.","Warm","23"
"Mrs. Tammy Ferrell DVM","https://hahn.com/","26488","Not For Profit","34667","Other","Girl model office.","Cold","24"
"Mckenzie, Hayes and Roy","https://lin.info/","14473","Agriculture","70111","Public","Democratic win soon.","Cold","25"
"Mrs. Stacie Beasley","https://porter.com/","88058","Biotechnology","54269","Public","Difficult.","Cold","26"
"Nolan, Meadows and Ramsey","https://randall-riggs.com/","68967","Transportation","28919","Private","Stop seem present.","Hot","27"
"Aimee Reid","https://stevens.com/","95825","Entertainment","46614","Subsidiary","As free be even.","Hot","28"
"Wood Group","https://tate.com/","72149","Food & Beverage","7269","Private","Economic natural.","Hot","29"
"Julian Blevins DVM","https://vincent-durham.com/","58962","Utilities","97983","Subsidiary","Where method until.","Warm","30"
"Dickson-Garrett","https://ware.com/","64308","Machinery","89832","Public","Else return from.","Hot","31"
"Mr. Carl Neal","https://weiss-harvey.com/","95120","Machinery","40958","Subsidiary","Special simply.","Hot","32"
"Richard-Carr","https://www.barnett.com/","11998","Media","87568","Private","Break peace.","Cold","33"
"Mrs. Nicole Summers","https://www.barrett.com/","38887","Insurance","35460","Other","Mother western unit.","Warm","34"
"Bowman-Burns","https://www.cantu-fowler.org/","74648","Communications","59309","Public","Beautiful fear.","Warm","35"
"Mr. Seth Richmond","https://www.flowers-logan.com/","36278","Not For Profit","75414","Subsidiary","One help which seat.","Hot","36"
"Phelps, Carr and Acosta","https://www.hampton.com/","36077","Biotechnology","75298","Subsidiary","Right image adult.","Warm","37"
"Brianna Griffith","https://www.howard.info/","97738","Not For Profit","65659","Other","Great social month.","Hot","38"
"Abbott, Norris and Manning","https://www.sullivan.com/","72217","Retail","74398","Private","Civil fast sing.","Warm","39"
"Gabriela Costa PhD","https://www.villanueva.com/","64866","Apparel","21093","Public","Six idea without.","Hot","40"
"Harrison-Arellano","http://gonzalez.com/","62504","Construction","97441","Other","Night country five.","Hot","41"
"Kathryn Mcdonald","http://graham.org/","47460","Technology","71061","Private","Hundred anyone.","Cold","42"
"Sutton Group","http://hayden.com/","62003","Machinery","31620","Other","Federal open south.","Warm","43"
"Dr. Shannon Ho","http://hopkins.com/","50722","Energy","93184","Subsidiary","Economy occur leave.","Cold","44"
"Blackburn-Mccormick","http://www.cline.com/","56857","Agriculture","87214","Other","Anything early get.","Cold","45"
"Eugene Flowers","http://www.hull.com/","96466","Shipping","66660","Public","Strong very food.","Warm","46"
"Newman-Pace","http://www.lutz.com/","34481","Environmental","43167","Subsidiary","Manage apply career.","Warm","47"
"Ms. Carol May DDS","https://hahn.com/","26488","Not For Profit","34667","Other","Girl model office.","Cold","48"
"Herman Inc","https://lin.info/","14473","Agriculture","70111","Public","Democratic win soon.","Cold","49"
"Dr. Marcus Irwin PhD","https://porter.com/","88058","Biotechnology","54269","Public","Difficult.","Cold","50"
"Love-Hammond","https://randall-riggs.com/","68967","Transportation","28919","Private","Stop seem present.","Hot","51"
"Peter Guzman Jr.","https://stevens.com/","95825","Entertainment","46614","Subsidiary","As free be even.","Hot","52"
"Atkinson, Fuentes and Escobar","https://tate.com/","72149","Food & Beverage","7269","Private","Economic natural.","Hot","53"
"Dr. Felicia Ferrell MD","https://vincent-durham.com/","58962","Utilities","97983","Subsidiary","Where method until.","Warm","54"
"Le-Donovan","https://ware.com/","64308","Machinery","89832","Public","Else return from.","Hot","55"
"Miss Amy Hays","https://weiss-harvey.com/","95120","Machinery","40958","Subsidiary","Special simply.","Hot","56"
"Humphrey-Moran","https://www.barnett.com/","11998","Media","87568","Private","Break peace.","Cold","57"
"Dr. Diane Peters MD","https://www.barrett.com/","38887","Insurance","35460","Other","Mother western unit.","Warm","58"
"Haynes-Walton","https://www.cantu-fowler.org/","74648","Communications","59309","Public","Beautiful fear.","Warm","59"
"Dr. Alvin Hutchinson","https://www.flowers-logan.com/","36278","Not For Profit","75414","Subsidiary","One help which seat.","Hot","60"
"Sanchez LLC","https://www.hampton.com/","36077","Biotechnology","75298","Subsidiary","Right image adult.","Warm","61"
"Christie Rodgers DDS","https://www.howard.info/","97738","Not For Profit","65659","Other","Great social month.","Hot","62"
"York Group","https://www.sullivan.com/","72217","Retail","74398","Private","Civil fast sing.","Warm","63"
"Cathy Thomas PhD","https://www.villanueva.com/","64866","Apparel","21093","Public","Six idea without.","Hot","64"
"Black-Atkins","https://www.villanueva.com/","64866","Apparel","21093","Public","Six idea without.","Hot","65"
"Franklin Gallegos","http://franco.biz/","76909","Education","52334","Private","Throughout common.","Cold","66"
"Brooks PLC","http://fritz.com/","87903","Hospitality","68657","Public","Peace with.","Cold","67"
"Yvette Stanton MD","http://moses-sullivan.net/","9579","Insurance","34986","Other","However.","Warm","68"
"Short Ltd","http://olsen.com/","5777","Utilities","26459","Subsidiary","Us mention effect.","Warm","69"
"Miss Shannon Alvarez","http://www.andersen-meyers.info/","83989","Transportation","12962","Other","Public pick late.","Warm","70"
"Gillespie, Cherry and Whitaker","http://www.baker-daugherty.biz/","17016","Shipping","20370","Private","Little through.","Hot","71"
"Dr. Ralph Proctor III","http://www.moss.net/","89490","Electronics","47358","Subsidiary","Hospital room.","Hot","72"
"Kline-Durham","http://yu.com/","96613","Food & Beverage","29114","Private","Investment service.","Cold","73"
"Penny Cervantes MD","https://becker.com/","73869","Agriculture","4677","Subsidiary","Lawyer edge when.","Hot","74"
